Generation,Population,BestFitness,AverageFitness,WorstFitness,Wind,TargetX,BestAngle,BestForce,BestVariance,AvgAngle,AvgForce,AvgVariance,WorstAngle,WorstForce,WorstVariance
43, 87,-0.01478767,-1.102447,-5.213593,0,20,42.94818,13.86225,7.831613,44.83698,13.88472,7.808716,44.38127,15.61018,8.25145
44, 87,-0.009220123,-0.6295639,-5.686409,0,20,41.66277,13.87826,7.696478,44.54907,13.86941,7.992362,43.67643,15.7542,7.937452
45, 87,-0.002708435,-1.138177,-4.877136,0,20,41.90602,13.86883,7.756991,44.44394,13.85392,8.246058,43.91796,15.67203,8.080883
46, 87,-0.001342773,-1.175027,-5.519873,0,20,44.56228,13.8616,8.225767,44.22525,13.75382,8.307228,44.49035,15.70175,8.640706
47, 87,-0.001449585,-1.018996,-5.65514,0,20,43.51839,13.8616,8.749507,43.967,13.84273,8.454504,43.22158,15.75134,7.983552
48, 87,-0.005298615,-0.7212471,-5.092283,0,20,44.29621,13.84235,8.567698,44.30355,13.92151,8.49132,45.30342,15.64926,9.20517
49, 87,-0.005966187,-0.9762501,-4.908609,0,20,45.28199,13.86187,8.467884,44.44714,13.91952,8.588017,44.21864,15.72878,8.572348
50, 87,-0.03045082,-0.8204191,-5.636923,0,20,43.52026,13.86411,8.284439,44.43647,13.91548,8.744749,47.82452,15.69326,8.349483
51, 87,-0.004114151,-0.8188356,-5.530746,0,20,47.34115,13.86408,8.900596,44.89736,13.88976,8.90164,44.41456,15.66208,8.762299
52, 87,-0.006643295,-0.8634087,-5.699226,0,20,45.24346,13.86057,9.379004,44.83558,13.99882,9.093966,45.69173,15.83948,8.994896
53, 87,-0.005771637,-1.003807,-5.593587,0,20,42.35929,13.86241,9.480062,44.58727,13.7952,9.158928,44.12158,11.89829,8.577971
54, 87,-0.004051208,-1.033639,-6.02479,0,20,42.80955,13.8609,8.748079,44.10279,13.7877,9.199233,40.26392,15.79948,9.05407
55, 87,-0.0004272461,-1.089882,-5.369442,0,20,44.38103,13.86166,9.16725,44.32391,13.89732,9.303182,46.18363,15.78463,9.048975
56, 87,-0.002069473,-1.103723,-5.531446,0,20,44.57472,13.86155,9.24706,44.43306,13.97582,9.408135,42.0826,15.6283,9.547201
57, 87,-0.002574921,-1.173475,-5.890669,0,20,46.20734,13.8614,9.171947,43.95171,13.85613,9.515252,42.60824,15.7735,9.828482
58, 87,-0.006435394,-1.012335,-5.257675,0,20,43.49385,13.86178,9.82767,43.87381,13.89446,9.577579,41.33716,15.609,9.837519
59, 87,-0.001276016,-0.7868355,-5.386257,0,20,44.00594,13.86156,9.44978,44.05626,13.86133,9.627132,43.47244,15.58708,9.803689
60, 87,-0.007488251,-1.098072,-5.612667,0,20,40.97514,13.86622,9.79722,43.59461,13.85936,9.817721,45.54141,15.70903,10.53955
61, 87,-0.0008506775,-1.054438,-5.29513,0,20,43.54724,13.85396,9.558175,43.8115,13.82702,9.901984,44.91045,11.9382,9.946814
62, 87,-0.004455566,-0.9841481,-6.165623,0,20,46.63576,13.86607,10.29438,44.43822,13.8782,10.08379,46.86529,15.86568,11.04525
63, 87,-0.0007896423,-1.127505,-5.996412,0,20,43.79926,13.87592,9.870892,44.1737,13.91141,10.23625,46.02119,15.83468,10.05294
64, 87,-0.003816605,-0.8760297,-5.720707,0,20,46.67638,13.85263,10.53106,43.97088,13.94382,10.38356,44.85314,15.73957,9.667105
65, 87,-0.006546021,-1.096574,-5.657827,0,20,43.79807,13.87191,10.13479,43.79167,13.96003,10.49616,44.01447,15.85515,10.29784
66, 87,-0.01393509,-1.016878,-6.330212,0,20,44.15873,13.85401,10.46923,43.62106,13.94147,10.60968,43.53294,15.97418,10.55846
67, 87,-0.002796173,-0.8719441,-5.886551,0,20,39.6687,13.86938,10.87751,43.39143,13.90066,10.6903,43.81623,15.7409,10.49242
68, 87,-0.01528549,-1.141084,-6.567259,0,20,43.19463,13.8776,10.49439,43.29089,13.84405,10.77605,37.88562,11.88029,10.49653
69, 87,-0.006889343,-1.008707,-6.247717,0,20,44.34438,13.8776,10.49439,43.51832,14.00525,10.84318,43.01115,16.08347,12.30738
70, 87,-0.005699158,-1.149788,-6.139496,0,20,43.3896,13.86547,10.58627,43.52013,13.87671,10.90367,43.40349,15.86111,10.60743
71, 87,-0.01413918,-0.9634873,-5.264406,0,20,43.23125,13.86966,11.40658,43.51463,13.81439,11.07545,43.67165,11.97766,10.89566
72, 87,-0.01278496,-0.9525964,-4.999672,0,20,43.90133,13.87389,10.94436,43.4779,13.78717,11.17159,41.762,11.89102,11.23924
